Mode No.;Modal Mass;Effective Modal Mass - Translational Direction [kg];;;Effective Modal Mass - Rotational Direction [kgm^2 ];;;Factor for Effective Modal Mass - Translational Direction [--];;;Factor for Effective Modal Mass - Rotational Direction [--];;;
;M_i [kg];m_eX;m_eY;m_eZ;m_eφX;m_eφY;m_eφZ;f_meX;f_meY;f_meZ;f_mφX;f_mφY;f_mφZ;
1;53202.5;120465.0;110.4;1.0;737.51;2115470.00;10453.10;0.461;0.000;0.000;0.000;0.210;0.001;
2;13204.0;1.5;0.1;3.6;0.49;73.37;3.83;0.000;0.000;0.000;0.000;0.000;0.000;
3;9888.7;1.5;0.1;0.0;0.84;13.66;5.14;0.000;0.000;0.000;0.000;0.000;0.000;
4;31353.7;7066.9;378.6;2.3;2371.03;145550.00;49135.90;0.027;0.001;0.000;0.001;0.014;0.005;
5;16900.0;131.4;503.8;1.3;3126.96;3545.24;114202.00;0.001;0.002;0.000;0.001;0.000;0.012;
Σ;124548.9;127667.0;993.0;8.1;6236.84;2264660.00;173800.00;0.489;0.004;0.000;0.002;0.225;0.019;
Σ<sub>M</sub>;;261300.0;261300.0;261300.0;2734430.00;10068900.00;9233480.00;;;;;;;
%;;48.86;0.38;0.00;0.23;22.49;1.88;;;;;;;
